City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current description
298,Snyder,US,32.7179,-100.9176,48.34,39,0,6.91,clear sky
299,Khilok,RU,51.3674,110.4676,7.54,93,100,2.86,overcast clouds
300,Khatanga,RU,71.9667,102.5,-23.89,99,99,8.57,overcast clouds
301,Mawlaik,MM,23.6333,94.4167,54.48,63,1,0.74,clear sky
302,Ust-Nera,RU,64.5667,143.2,-27.81,78,22,1.12,few clouds
303,Galle,LK,6.0367,80.217,79.38,72,100,1.68,overcast clouds
304,Sitka,US,57.0531,-135.33,39.09,81,100,9.22,overcast clouds
305,Timra,SE,62.487,17.3257,31.68,91,0,2.3,clear sky
306,Novoagansk,RU,61.9449,76.6625,-12.32,100,19,5.68,few clouds
307,Bonavista,CA,48.6499,-53.1147,20.12,44,41,14.32,scattered clouds
308,Yangjiang,CN,21.85,111.9667,59.95,89,99,8.99,overcast clouds
309,Nanortalik,GL,60.1432,-45.2371,12.92,72,100,49.97,overcast clouds
310,Falun,SE,60.6036,15.626,30.61,82,4,3.53,clear sky
311,Canto Do Buriti,BR,-8.11,-42.9444,89.4,49,79,5.28,moderate rain
312,Torbay,CA,47.6666,-52.7314,21.27,70,75,10.36,broken clouds
313,Northam,GB,51.0333,-4.2167,52.92,97,100,16.71,overcast clouds
314,Yaan,NG,7.3833,8.5667,89.51,12,44,5.48,scattered clouds
315,Dickinson,US,29.4608,-95.0513,61.21,40,0,13.8,clear sky
316,Dubbo,AU,-32.25,148.6167,57.33,82,2,11.5,clear sky
317,Nemuro,JP,43.3236,145.575,21.27,77,28,7.58,scattered clouds
318,Dalbandin,PK,28.8947,64.4101,55.63,24,0,8.43,clear sky
319,Salinopolis,BR,-0.6136,-47.3561,82.98,73,74,8.95,broken clouds
320,Fochabers,GB,57.6136,-3.0957,51.89,70,75,25.32,broken clouds
321,Buala,SB,-8.145,159.5921,81.43,82,100,10.78,overcast clouds
322,Chuguyevka,RU,44.1653,133.8633,-7.37,100,81,3.18,broken clouds
323,Glenwood Springs,US,39.5505,-107.3248,33.03,57,0,0.0,clear sky
324,Lata,PT,40.1629,-8.3327,61.21,49,1,5.53,clear sky
325,Ratnagiri,IN,16.9833,73.3,72.0,84,21,7.54,few clouds
326,La Palma,US,33.8464,-118.0467,77.76,25,0,3.0,clear sky
327,Arman,RU,59.7,150.1667,-4.99,75,93,8.86,overcast clouds
328,Parkes,AU,-33.1333,148.1833,58.35,74,3,5.35,clear sky
329,Marsh Harbour,BS,26.5412,-77.0636,75.04,67,0,10.6,clear sky
330,Amahai,ID,-3.3333,128.9167,77.9,86,73,1.72,broken clouds
331,Klaksvik,FO,62.2266,-6.589,38.32,74,89,37.04,overcast clouds
332,Rudbar,AF,30.15,62.6,57.4,23,0,12.3,clear sky
333,Nouadhibou,MR,20.931,-17.0347,71.58,68,49,12.66,scattered clouds
334,Otavi,NA,-19.65,17.3333,71.56,53,84,5.23,broken clouds
335,Beacon,US,41.5048,-73.9696,38.01,84,100,0.0,mist
336,Port Blair,IN,11.6667,92.75,78.84,78,40,8.05,mist
337,Muros,ES,42.7762,-9.0603,60.1,70,11,9.75,few clouds
338,Aksarka,RU,66.5606,67.7975,1.45,92,100,10.47,overcast clouds
339,Ossora,RU,59.2353,163.0719,8.26,90,100,9.17,overcast clouds
340,Naze,JP,28.3667,129.4833,60.6,80,100,23.44,overcast clouds
341,Hami,CN,42.8,93.45,25.72,39,6,0.83,clear sky
342,San Patricio,US,28.017,-97.5169,63.18,43,37,14.07,scattered clouds
343,Hargeysa,SO,9.56,44.065,61.65,94,32,14.81,scattered clouds
344,Baykit,RU,61.67,96.37,-6.38,96,99,4.36,overcast clouds
